,latitude,longitude,number,time,step,surface,valid_time,lsm
6577,-22.5,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6578,-22.5,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6579,-22.5,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6580,-22.5,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6581,-22.5,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6582,-22.5,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6583,-22.5,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6584,-22.5,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6585,-22.5,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6586,-22.5,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6587,-22.5,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6588,-22.5,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6710,-25.0,35.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6711,-25.0,37.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6712,-25.0,40.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6713,-25.0,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6715,-25.0,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6716,-25.0,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6717,-25.0,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6718,-25.0,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6719,-25.0,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6720,-25.0,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6721,-25.0,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6722,-25.0,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6723,-25.0,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6724,-25.0,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6725,-25.0,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6726,-25.0,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6727,-25.0,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6728,-25.0,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6729,-25.0,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
